"Date","BMRI.JK.Adjusted","JKSE.Adjusted"
2022-06-21,3392.43139648438,7044.07080078125
2022-06-22,3351.31103515625,6984.31103515625
2022-06-23,3351.31103515625,6998.26708984375
2022-06-24,3412.99145507812,7042.93701171875
2022-06-27,3382.1513671875,7016.05517578125
2022-06-28,3341.03076171875,6996.4560546875
2022-06-29,3269.07006835938,6942.35107421875
2022-06-30,3258.7900390625,6911.58203125
2022-07-01,3125.14892578125,6794.328125
2022-07-04,3042.908203125,6639.171875
2022-07-05,3145.70922851562,6703.26611328125
2022-07-06,3094.30859375,6646.41015625
2022-07-07,3053.18798828125,6652.5869140625
2022-07-08,3073.74829101562,6740.21923828125
2022-07-11,3073.74829101562,6722.14501953125
2022-07-12,3053.18798828125,6718.2939453125
2022-07-13,2991.5078125,6640.990234375
2022-07-14,2991.5078125,6690.0869140625
2022-07-15,2950.38696289062,6651.90478515625
2022-07-18,3022.34790039062,6659.2529296875
2022-07-19,3053.18798828125,6736.091796875
2022-07-20,3248.51000976562,6874.7431640625
2022-07-21,3248.51000976562,6864.130859375
2022-07-22,3227.94970703125,6886.9619140625
2022-07-25,3197.10961914062,6858.4072265625
2022-07-26,3289.63061523438,6871.537109375
2022-07-27,3330.75073242188,6898.2158203125
2022-07-28,3310.1904296875,6956.81689453125
2022-07-29,3402.71166992188,6951.123046875
2022-08-01,3279.35034179688,6968.783203125
2022-08-02,3361.59106445312,6988.1572265625
2022-08-03,3392.43139648438,7046.634765625
2022-08-04,3392.43139648438,7057.34814453125
2022-08-05,3392.43139648438,7084.65478515625
2022-08-08,3433.55151367188,7086.84912109375
2022-08-09,3484.9521484375,7102.8798828125
2022-08-10,3536.35278320312,7086.23583984375
2022-08-11,3505.51245117188,7160.384765625
2022-08-12,3484.9521484375,7129.27685546875
2022-08-15,3474.671875,7093.27587890625
2022-08-16,3505.51245117188,7133.453125
2022-08-18,3536.35278320312,7186.55810546875
2022-08-19,3495.232421875,7172.43408203125
2022-08-22,3505.51245117188,7107.98291015625
2022-08-23,3546.63256835938,7163.26513671875
2022-08-24,3546.63256835938,7194.7060546875
2022-08-25,3526.07250976562,7174.2080078125
2022-08-26,3495.232421875,7135.248046875
2022-08-29,3515.79248046875,7132.044921875
2022-08-30,3556.9130859375,7159.47314453125
2022-08-31,3639.1533203125,7178.58984375
2022-09-01,3669.99389648438,7153.10400390625
2022-09-02,3639.1533203125,7177.17919921875
2022-09-05,3680.27368164062,7231.8828125
2022-09-06,3628.87353515625,7233.15478515625
2022-09-07,3649.43383789062,7186.7568359375
2022-09-08,3680.27368164062,7232.01708984375
2022-09-09,3731.67431640625,7242.65576171875
2022-09-12,3772.794921875,7254.4638671875
2022-09-13,3885.87573242188,7318.01611328125
2022-09-14,3824.19555664062,7278.078125
2022-09-15,3844.755859375,7305.60107421875
2022-09-16,3741.95458984375,7168.8701171875
2022-09-19,3793.35473632812,7195.48779296875
2022-09-20,3783.07495117188,7196.951171875
2022-09-21,3813.91528320312,7188.31396484375
2022-09-22,3783.07495117188,7218.90576171875
2022-09-23,3783.07495117188,7178.5830078125
2022-09-26,3803.63500976562,7127.5029296875
2022-09-27,3844.755859375,7112.44921875
2022-09-28,3824.19555664062,7077.03076171875
2022-09-29,3803.63500976562,7036.1982421875
2022-09-30,3875.595703125,7040.7978515625
2022-10-03,3813.91528320312,7009.7177734375
2022-10-04,3793.35473632812,7072.255859375
2022-10-05,3813.91528320312,7075.384765625
2022-10-06,3834.47509765625,7076.623046875
2022-10-07,3875.595703125,7026.783203125
2022-10-10,3824.19555664062,6994.39501953125
2022-10-11,3824.19555664062,6939.14501953125
2022-10-12,3875.595703125,6909.208984375
2022-10-13,3896.15600585938,6880.625
2022-10-14,3865.3154296875,6814.52978515625
2022-10-17,3885.87573242188,6831.115234375
2022-10-18,3906.43579101562,6834.494140625
2022-10-19,3896.15600585938,6860.416015625
2022-10-20,4070.91796875,6980.65185546875
2022-10-21,4255.95947265625,7017.77099609375
2022-10-24,4214.8388671875,7053.0439453125
2022-10-25,4204.55908203125,7048.3798828125
2022-10-26,4194.27880859375,7043.93896484375
2022-10-27,4194.27880859375,7091.76123046875
2022-10-28,4194.27880859375,7056.0400390625
2022-10-31,4338.2001953125,7098.89013671875
2022-11-01,4276.51953125,7052.30322265625
2022-11-02,4142.87841796875,7015.68994140625
2022-11-03,4183.9990234375,7034.5732421875
2022-11-04,4173.71826171875,7045.52685546875
2022-11-07,4214.8388671875,7102.39599609375
2022-11-08,4173.71826171875,7050.1259765625
2022-11-09,4173.71826171875,7070.083984375
2022-11-10,4153.158203125,6966.8369140625
2022-11-11,4286.79931640625,7089.2060546875
2022-11-14,4214.8388671875,7019.39208984375
2022-11-15,4214.8388671875,7035.5
2022-11-16,4112.0380859375,7014.3837890625
2022-11-17,4070.91796875,7044.98583984375
2022-11-18,4183.9990234375,7082.18115234375
2022-11-21,4153.158203125,7063.2470703125
2022-11-22,4163.4384765625,7030.587890625
2022-11-23,4194.27880859375,7054.123046875
2022-11-24,4204.55908203125,7080.51513671875
2022-11-25,4183.9990234375,7053.14990234375
2022-11-28,4163.4384765625,7017.35791015625
2022-11-29,4245.6787109375,7012.06884765625
2022-11-30,4327.919921875,7081.31298828125
2022-12-01,4276.51953125,7020.80322265625
2022-12-02,4327.919921875,7019.63916015625
2022-12-05,4471.8408203125,6987.328125
2022-12-06,4482.12158203125,6892.56982421875
2022-12-07,4266.2392578125,6818.751953125
2022-12-08,4132.59765625,6804.22705078125
2022-12-09,4081.19775390625,6715.1181640625
